iter	Logloss
404	0.2610628943
405	0.2608782292
406	0.260795586
407	0.2605991363
408	0.2604374875
409	0.2601286464
410	0.2600041324
411	0.2598534454
412	0.2596464671
413	0.2594201859
414	0.2591795528
415	0.2588862253
416	0.2587151601
417	0.2584185596
418	0.2581751426
419	0.2576779733
420	0.25740882
421	0.2571658416
422	0.2570006028
423	0.2567988815
424	0.2566573525
425	0.2564227789
426	0.2562443108
427	0.2560201346
428	0.255860223
429	0.2555995678
430	0.2554555037
431	0.2553577647
432	0.2550348229
433	0.2548355562
434	0.2547311852
435	0.2544884458
436	0.2543693425
437	0.2541895923
438	0.2540671641
439	0.2537464853
440	0.2534399045
441	0.2531911671
442	0.25297401
443	0.2528430524
444	0.2526546188
445	0.2524929922
446	0.252332173
447	0.2521497415
448	0.2519978137
449	0.2518097445
450	0.2515676999
451	0.2514288627
452	0.2510508929
453	0.2509795529
454	0.2508068684
455	0.2506421915
456	0.2504578961
457	0.2502329332
458	0.249983217
459	0.249690349
460	0.2496173086
461	0.2494196868
462	0.2492594564
463	0.2490749966
464	0.2488903846
465	0.2487012542
466	0.2484896015
467	0.2483497488
468	0.2481292129
469	0.2479622694
470	0.2478162341
471	0.2475595565
472	0.247423597
473	0.2470152928
474	0.2468640881
475	0.2466796445
476	0.2465141213
477	0.2462345265
478	0.2458784715
479	0.2456156724
480	0.2455310344
481	0.2452539594
482	0.2449891066
483	0.244795772
484	0.2445402676
485	0.2443456245
486	0.2440638274
487	0.243918263
488	0.2437683646
489	0.2437068019
490	0.2435405646
491	0.243409531
492	0.2432607574
493	0.2430882423
494	0.2428861015
495	0.242725743
496	0.2425582818
497	0.2424415539
498	0.2423015679
499	0.2421510951
500	0.241906672
501	0.2417506162
502	0.2415738417
503	0.2414995737
504	0.2413361309
505	0.2411513233
506	0.2410308997
507	0.2408772883
508	0.2407435606
509	0.2404138975
510	0.2400813993
511	0.2398418264
512	0.2395845967
513	0.2393077911
514	0.239101279
515	0.238839034
516	0.2386699309
517	0.2384657828
518	0.2382480858
519	0.2380955943
520	0.2378088536
521	0.2376744873
522	0.2375482233
523	0.2373566719
524	0.2371965732
525	0.2370753263
526	0.2369673204
527	0.2368476254
528	0.2367488367
529	0.2365029581
530	0.2363551592
531	0.2361818859
532	0.2360761472
533	0.2358339637
534	0.2355258394
535	0.2353742229
536	0.2352562872
537	0.2351741751
538	0.2350376137
539	0.2349201777
540	0.2348032417
541	0.2346419635
542	0.2344849782
543	0.2343978869
544	0.2342878876
545	0.2340867887
546	0.2339005923
547	0.2336982098
548	0.2335196243
549	0.2333754449
550	0.2331978214
551	0.2331064421
552	0.232616367
553	0.2324514566
554	0.2323165236
555	0.2322143985
556	0.232049603
557	0.2318800281
558	0.2317469302
559	0.2316469595
560	0.2314345882
561	0.2312642529
562	0.231107898
563	0.2309497447
564	0.2307199125
565	0.2305401728
566	0.2303192617
567	0.2300708117
568	0.2299288398
569	0.2297448457
570	0.229403447
571	0.2292678552
572	0.2291802961
573	0.2290550981
574	0.2287954259
575	0.2287417534
576	0.2284543429
577	0.228310606
578	0.228119247
579	0.2279035194
580	0.2277261062
581	0.2276154705
582	0.2274265316
583	0.2273427437
584	0.227097136
585	0.2270012446
586	0.2268898425
587	0.2267186341
588	0.2265206023
589	0.2263176763
590	0.2262484916
591	0.2261039593
592	0.2259998849
593	0.2258482772
594	0.2256934114
595	0.2255945638
596	0.2254762678
597	0.2253337348
598	0.2251488387
599	0.2250306026
600	0.2248843988
601	0.2247417751
602	0.2245804107
603	0.2244431162
604	0.2243314046
605	0.2241719219
606	0.2239817447
607	0.2237971584
608	0.2236769003
609	0.2234600958
610	0.2233663944
611	0.2232581566
612	0.2231424735
613	0.2227116359
614	0.2225907928
615	0.2224513339
616	0.2223283782
617	0.2221829724
618	0.2220131026
619	0.2218856116
620	0.2217895654
621	0.2216939583
622	0.2216150985
623	0.2214885331
624	0.2214209005
625	0.2212906085
626	0.2211325099
627	0.2209923793
628	0.2208379305
629	0.2207179938
630	0.2204885332
631	0.2202976078
632	0.2201366525
633	0.2198536447
634	0.2196986003
635	0.219486849
636	0.2193736648
637	0.2192717281
638	0.2191817235
639	0.2189917331
640	0.2189076249
641	0.2187652372
642	0.2185654897
643	0.2184345047
644	0.2182634469
645	0.2181169038
646	0.2180098668
647	0.2179584508
648	0.2177018673
649	0.2175505467
650	0.2174750582
651	0.2173824291
652	0.2171998556
653	0.2170273693
654	0.216878426
655	0.2167377904
656	0.2166415739
657	0.216494718
658	0.2164085324
659	0.2162645743
660	0.216100554
661	0.2159689823
662	0.2158363961
663	0.2155843467
664	0.2154601183
665	0.2153058964
666	0.2151258936
667	0.2149190146
668	0.214760193
669	0.2146219475
670	0.2145344813
671	0.2144314289
672	0.2142849011
673	0.2141369671
674	0.213953844
675	0.2137997806
676	0.2137463625
677	0.2136553374
678	0.2134200986
679	0.2132746123
680	0.2131501776
681	0.2130301523
682	0.2128085522
683	0.2127056169
684	0.2125925553
685	0.2124494906
686	0.212349265
687	0.2122553788
688	0.2121615831
689	0.2120546997
690	0.2119108878
691	0.2116602773
692	0.2115429228
693	0.211454011
694	0.2112910788
695	0.2110903391
696	0.2107003554
697	0.2106106143
698	0.2104887887
699	0.2103278538
700	0.210137044
701	0.2099600968
702	0.2098195655
703	0.2097265725
704	0.2095701488
705	0.2095085751
706	0.2094352714
707	0.209268287
708	0.2091498195
709	0.2090271409
710	0.2089287354
711	0.2088609835
712	0.2087739226
713	0.2085651514
714	0.2084338819
715	0.208348587
716	0.2082319307
717	0.2080084798
718	0.2079038201
719	0.2077918763
720	0.2075249801
721	0.2074267499
722	0.2072459386
723	0.2070963788
724	0.2067815521
725	0.2066944836
726	0.2065629282
727	0.2064591606
728	0.2063213668
729	0.2061507527
730	0.2059610317
731	0.2058664288
732	0.2057244854
733	0.2056335303
734	0.2055239426
735	0.2053900184
736	0.2051952124
737	0.2050480557
738	0.2049102744
739	0.2048040124
740	0.2046443331
741	0.2045678289
742	0.2043808653
743	0.204206227
744	0.2040809852
745	0.2038864371
746	0.2036762721
747	0.2035815433
748	0.2034375178
749	0.203310115
750	0.2032262057
751	0.2030897917
752	0.2029343367
753	0.2028340711
754	0.202638451
755	0.2025163593
756	0.2023417228
757	0.2022685366
758	0.2022004021
759	0.2019790653
760	0.2018228027
761	0.2017086871
762	0.2015799212
763	0.201486518
764	0.201355344
765	0.2012525177
766	0.2011485858
767	0.2010803028
768	0.2009355896
769	0.2008281669
770	0.2007228692
771	0.2006421733
772	0.2004840142
773	0.2003393959
774	0.200232213
775	0.2000590876
776	0.1999311157
777	0.1998007329
778	0.1996016299
779	0.19940449
780	0.1992502813
781	0.19912203
