gender,country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical
neuter,Uruguay,KS,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
female (trans),Israel,VA,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
queer,Bosnia and Herzegovina,NH,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
female (cis),Hungary,KY,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
mail,Singapore,AL,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
a little about you,Japan,NV,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
malr,Nigeria,NJ,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
p,Croatia,SC,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
femail,Norway,VT,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
cis man,Thailand,SD,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
"ostensibly male, unsure what that really means",Denmark,ID,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
END--,"Bahamas, The",MS,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
END--,Greece,RI,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
END--,Moldova,WY,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
END--,Georgia,LA,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
END--,China,ME,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
END--,Czech Republic,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
END--,Philippines,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--,END--
